prompt,pipeline
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.124:8069/preview"", ""video_scale"": {""width"": 1597, ""height"": 518}, ""caps_filter"": ""GBR"", ""detect"": {""model"": ""/usr/share/models/onnx/detection/1.0/FP32/model_8007.xml"", ""device"": ""HDDL""}, ""track"": {""tracking_type"": 0}, ""classify"": {""model"": ""/opt/models/intel/segmentation/2.0/FP32/model_3695.xml"", ""device"": ""GPU"", ""inference_region"": ""full-frame"", ""model_proc"": ""/home/user/.local/intel/model_proc/detection/model_3956.json""}, ""inference"": [{""model"": ""/home/user/.local/models/intel/classification/5.0/FP32/model_5775.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}, {""model"": ""/usr/share/models/onnx/recognition/2.1/FP16/model_7317.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}, {""model"": ""/opt/models/intel/detection/3.0/FP16/model_9971.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}, {""model"": ""/usr/share/models/intel/segmentation/5.0/INT8/model_6368.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}], ""emit_signals"": true, ""sync"": false, ""drop"": true, ""max_buffers"": 500}","gst-launch-1.0 rtspsrc location=rtsp://192.168.1.124:8069/preview ! rtph264depay ! h264parse ! avdec_h264 ! videoconvert ! capsfilter caps=video/x-raw,format=GBR ! videoscale ! video/x-raw,width=1597,height=518 ! gvadetect model=/usr/share/models/onnx/detection/1.0/FP32/model_8007.xml device=HDDL ! queue ! gvatrack tracking-type=0 ! queue ! gvaclassify model=/opt/models/intel/segmentation/2.0/FP32/model_3695.xml device=GPU inference-region=full-frame model-proc=/home/user/.local/intel/model_proc/detection/model_3956.json ! queue ! gvainference model=/home/user/.local/models/intel/classification/5.0/FP32/model_5775.xml device=CPU inference-region=roi-list ! queue ! gvainference model=/usr/share/models/onnx/recognition/2.1/FP16/model_7317.xml device=HDDL inference-region=roi-list ! queue ! gvainference model=/opt/models/intel/detection/3.0/FP16/model_9971.xml device=CPU inference-region=roi-list ! queue ! gvainference model=/usr/share/models/intel/segmentation/5.0/INT8/model_6368.xml device=CPU inference-region=roi-list ! queue ! appsink name=appsink emit-signals=True drop=True sync=False max-buffers=500"
"{""source_type"": ""file"", ""source_location"": ""/opt/mall_6/checkout/camera_6.mp4"", ""detect"": {""model"": ""/var/lib/models/openvino/segmentation/1.0/INT8/model_4208.xml"", ""device"": ""CPU"", ""model_proc"": ""/usr/local/intel/model_proc/detection/model_8776.json"", ""threshold"": 0.78, ""inference_interval"": 6}, ""track"": {""tracking_type"": ""zero-term-imageless""}, ""emit_signals"": false, ""sync"": false, ""drop"": true}",gst-launch-1.0 filesrc location=/opt/mall_6/checkout/camera_6.mp4 ! decodebin ! gvadetect model=/var/lib/models/openvino/segmentation/1.0/INT8/model_4208.xml device=CPU model-proc=/usr/local/intel/model_proc/detection/model_8776.json threshold=0.78 inference-interval=6 ! queue ! gvatrack tracking-type=zero-term-imageless ! queue ! appsink name=appsink emit-signals=False drop=True sync=False
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.234:8095/sub_hd"", ""detect"": {""model"": ""/opt/models/openvino/classification/3.0/INT8/model_4187.xml"", ""device"": ""GPU"", ""model_proc"": ""/opt/intel/model_proc/detection/model_7546.json""}, ""track"": {""tracking_type"": 2}, ""inference"": [{""model"": ""/usr/share/models/openvino/detection/5.0/FP32/model_3128.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}, {""model"": ""/opt/models/tensorflow/recognition/1.0/FP32/model_6412.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}], ""emit_signals"": true, ""sync"": true, ""drop"": false, ""max_buffers"": 539}",gst-launch-1.0 rtspsrc location=rtsp://192.168.1.234:8095/sub_hd ! rtph264depay ! h264parse ! avdec_h264 ! gvadetect model=/opt/models/openvino/classification/3.0/INT8/model_4187.xml device=GPU model-proc=/opt/intel/model_proc/detection/model_7546.json ! queue ! gvatrack tracking-type=2 ! queue ! gvainference model=/usr/share/models/openvino/detection/5.0/FP32/model_3128.xml device=GPU inference-region=roi-list ! queue ! gvainference model=/opt/models/tensorflow/recognition/1.0/FP32/model_6412.xml device=HDDL inference-region=roi-list ! queue ! appsink name=appsink emit-signals=True drop=False sync=True max-buffers=539
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.238:8079/backup_hd"", ""video_scale"": {""width"": 1705, ""height"": 594}, ""caps_filter"": ""GBRA_10BE"", ""frame_rate"": ""25/1"", ""detect"": {""model"": ""/usr/share/models/intel/recognition/3.0/INT8/model_4853.xml"", ""device"": ""CPU""}, ""track"": {""tracking_type"": 2}, ""classify"": {""model"": ""/opt/models/pytorch/segmentation/1.0/INT8/model_2308.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}, ""emit_signals"": true, ""sync"": true, ""drop"": false, ""max_buffers"": 514}","gst-launch-1.0 rtspsrc location=rtsp://192.168.1.238:8079/backup_hd ! rtph264depay ! h264parse ! avdec_h264 ! videoconvert ! videorate ! video/x-raw,framerate=25/1 ! videoconvert ! capsfilter caps=video/x-raw,format=GBRA_10BE ! videoscale ! video/x-raw,width=1705,height=594 ! gvadetect model=/usr/share/models/intel/recognition/3.0/INT8/model_4853.xml device=CPU ! queue ! gvatrack tracking-type=2 ! queue ! gvaclassify model=/opt/models/pytorch/segmentation/1.0/INT8/model_2308.xml device=HDDL inference-region=roi-list ! queue ! appsink name=appsink emit-signals=True drop=False sync=True max-buffers=514"
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.86:8000/sub_hd"", ""video_crop"": {""top"": 0, ""left"": 62, ""right"": 20, ""bottom"": 32}, ""video_scale"": {""width"": 1355, ""height"": 649}, ""caps_filter"": ""A422_12BE"", ""frame_rate"": ""15/1"", ""detect"": {""model"": ""/usr/local/models/openvino/classification/2.1/FP32/model_5250.xml"", ""device"": ""HDDL"", ""model_proc"": ""/usr/share/intel/model_proc/recognition/model_9794.json""}, ""track"": {""tracking_type"": 1}, ""inference"": [{""model"": ""/var/lib/models/tensorflow/classification/2.0/FP32/model_4110.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}, {""model"": ""/usr/share/models/openvino/classification/3.0/FP16/model_2095.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}], ""emit_signals"": true, ""sync"": false, ""drop"": true}","gst-launch-1.0 rtspsrc location=rtsp://192.168.1.86:8000/sub_hd ! rtph264depay ! h264parse ! avdec_h264 ! videoconvert ! videorate ! video/x-raw,framerate=15/1 ! videoconvert ! capsfilter caps=video/x-raw,format=A422_12BE ! videocrop top=0 left=62 right=20 bottom=32 ! queue ! videoscale ! video/x-raw,width=1355,height=649 ! gvadetect model=/usr/local/models/openvino/classification/2.1/FP32/model_5250.xml device=HDDL model-proc=/usr/share/intel/model_proc/recognition/model_9794.json ! queue ! gvatrack tracking-type=1 ! queue ! gvainference model=/var/lib/models/tensorflow/classification/2.0/FP32/model_4110.xml device=CPU inference-region=roi-list ! queue ! gvainference model=/usr/share/models/openvino/classification/3.0/FP16/model_2095.xml device=CPU inference-region=roi-list ! queue ! appsink name=appsink emit-signals=True drop=True sync=False"
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.254:8097/record/channel2"", ""caps_filter"": ""A420_16BE"", ""frame_rate"": ""15/1"", ""detect"": {""model"": ""/home/user/.local/models/intel/segmentation/3.0/FP16/model_4135.xml"", ""device"": ""CPU"", ""model_proc"": ""/usr/share/intel/model_proc/classification/model_5895.json"", ""inference_interval"": 5}, ""track"": {""tracking_type"": 2}, ""classify"": {""model"": ""/home/user/.local/models/openvino/segmentation/4.0/FP16/model_6551.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}, ""inference"": [{""model"": ""/home/user/.local/models/tensorflow/detection/2.0/FP32/model_6233.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}, {""model"": ""/usr/share/models/onnx/classification/2.1/FP32/model_2032.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}], ""emit_signals"": true, ""sync"": false, ""drop"": false}","gst-launch-1.0 rtspsrc location=rtsp://192.168.1.254:8097/record/channel2 ! rtph264depay ! h264parse ! avdec_h264 ! videoconvert ! videorate ! video/x-raw,framerate=15/1 ! videoconvert ! capsfilter caps=video/x-raw,format=A420_16BE ! gvadetect model=/home/user/.local/models/intel/segmentation/3.0/FP16/model_4135.xml device=CPU model-proc=/usr/share/intel/model_proc/classification/model_5895.json inference-interval=5 ! queue ! gvatrack tracking-type=2 ! queue ! gvaclassify model=/home/user/.local/models/openvino/segmentation/4.0/FP16/model_6551.xml device=GPU inference-region=roi-list ! queue ! gvainference model=/home/user/.local/models/tensorflow/detection/2.0/FP32/model_6233.xml device=GPU inference-region=roi-list ! queue ! gvainference model=/usr/share/models/onnx/classification/2.1/FP32/model_2032.xml device=HDDL inference-region=roi-list ! queue ! appsink name=appsink emit-signals=True drop=False sync=False"
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.209:8089/backup"", ""detect"": {""model"": ""/opt/models/intel/detection/3.0/FP32/model_2830.xml"", ""device"": ""GPU"", ""threshold"": 0.84, ""inference_interval"": 3}, ""track"": {""tracking_type"": ""zero-term""}, ""inference"": [{""model"": ""/usr/share/models/openvino/detection/4.0/FP32/model_2923.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}, {""model"": ""/var/lib/models/pytorch/segmentation/1.0/FP32/model_3664.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}, {""model"": ""/var/lib/models/pytorch/classification/2.0/FP16/model_5859.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}], ""emit_signals"": false, ""sync"": true, ""drop"": true}",gst-launch-1.0 rtspsrc location=rtsp://192.168.1.209:8089/backup ! rtph264depay ! h264parse ! avdec_h264 ! gvadetect model=/opt/models/intel/detection/3.0/FP32/model_2830.xml device=GPU threshold=0.84 inference-interval=3 ! queue ! gvatrack tracking-type=zero-term ! queue ! gvainference model=/usr/share/models/openvino/detection/4.0/FP32/model_2923.xml device=HDDL inference-region=roi-list ! queue ! gvainference model=/var/lib/models/pytorch/segmentation/1.0/FP32/model_3664.xml device=GPU inference-region=roi-list ! queue ! gvainference model=/var/lib/models/pytorch/classification/2.0/FP16/model_5859.xml device=GPU inference-region=roi-list ! queue ! appsink name=appsink emit-signals=False drop=True sync=True
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.201:8087/motion/channel3"", ""video_scale"": {""width"": 888, ""height"": 379}, ""frame_rate"": ""15/1"", ""detect"": {""model"": ""/var/lib/models/onnx/recognition/3.0/FP16/model_5035.xml"", ""device"": ""CPU"", ""threshold"": 0.7, ""inference_interval"": 3}, ""track"": {""tracking_type"": 2}, ""inference"": [{""model"": ""/var/lib/models/onnx/classification/3.0/INT8/model_4407.xml"", ""device"": ""CPU"", ""inference_region"": ""roi-list""}, {""model"": ""/opt/models/openvino/segmentation/4.0/INT8/model_2202.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}, {""model"": ""/opt/models/pytorch/recognition/4.0/FP32/model_9911.xml"", ""device"": ""HDDL"", ""inference_region"": ""roi-list""}], ""emit_signals"": false, ""sync"": false, ""drop"": false, ""max_buffers"": 924}","gst-launch-1.0 rtspsrc location=rtsp://192.168.1.201:8087/motion/channel3 ! rtph264depay ! h264parse ! avdec_h264 ! videoconvert ! videorate ! video/x-raw,framerate=15/1 ! videoscale ! video/x-raw,width=888,height=379 ! gvadetect model=/var/lib/models/onnx/recognition/3.0/FP16/model_5035.xml device=CPU threshold=0.7 inference-interval=3 ! queue ! gvatrack tracking-type=2 ! queue ! gvainference model=/var/lib/models/onnx/classification/3.0/INT8/model_4407.xml device=CPU inference-region=roi-list ! queue ! gvainference model=/opt/models/openvino/segmentation/4.0/INT8/model_2202.xml device=HDDL inference-region=roi-list ! queue ! gvainference model=/opt/models/pytorch/recognition/4.0/FP32/model_9911.xml device=HDDL inference-region=roi-list ! queue ! appsink name=appsink emit-signals=False drop=False sync=False max-buffers=924"
"{""source_type"": ""rtsp"", ""source_location"": ""rtsp://192.168.1.106:8057/motion/channel3"", ""frame_rate"": ""10/1"", ""detect"": {""model"": ""/usr/local/models/tensorflow/detection/2.1/FP16/model_1792.xml"", ""device"": ""CPU"", ""model_proc"": ""/home/user/.local/intel/model_proc/detection/model_2184.json""}, ""track"": {""tracking_type"": 0}, ""classify"": {""model"": ""/usr/share/models/openvino/segmentation/1.0/FP32/model_2129.xml"", ""device"": ""GPU"", ""inference_region"": ""roi-list""}, ""emit_signals"": true, ""sync"": true, ""drop"": true, ""max_buffers"": 190}","gst-launch-1.0 rtspsrc location=rtsp://192.168.1.106:8057/motion/channel3 ! rtph264depay ! h264parse ! avdec_h264 ! videoconvert ! videorate ! video/x-raw,framerate=10/1 ! gvadetect model=/usr/local/models/tensorflow/detection/2.1/FP16/model_1792.xml device=CPU model-proc=/home/user/.local/intel/model_proc/detection/model_2184.json ! queue ! gvatrack tracking-type=0 ! queue ! gvaclassify model=/usr/share/models/openvino/segmentation/1.0/FP32/model_2129.xml device=GPU inference-region=roi-list ! queue ! appsink name=appsink emit-signals=True drop=True sync=True max-buffers=190"
"{""source_type"": ""file"", ""source_location"": ""/opt/store_3/checkout/device_7.mp4"", ""video_scale"": {""width"": 965, ""height"": 985}, ""detect"": {""model"": ""/usr/share/models/openvino/classification/2.0/FP32/model_5625.xml"", ""device"": ""HDDL""}, ""track"": {""tracking_type"": 1}, ""emit_signals"": true, ""sync"": false, ""drop"": false, ""max_buffers"": 827}","gst-launch-1.0 filesrc location=/opt/store_3/checkout/device_7.mp4 ! decodebin ! videoscale ! video/x-raw,width=965,height=985 ! gvadetect model=/usr/share/models/openvino/classification/2.0/FP32/model_5625.xml device=HDDL ! queue ! gvatrack tracking-type=1 ! queue ! appsink name=appsink emit-signals=True drop=False sync=False max-buffers=827"
